User-Agent,,,,,,,,,,
"Marvell Technology, Inc. (MRVL)",Semiconductors / Technology,At close: August 29 at 4:00:01 PM EDT,0.13,-13.88%,-17.65%,-31.53%,-9.99%,64.35%,355.26%,m
Chagee Holdings Limited (CHA),Restaurants / Consumer Cyclical,At close: August 29 at 4:00:01 PM EDT,0.17,-14.61%,-13.57%,-43.38%,-43.38%,-43.38%,-43.38%,n
Rambus Inc. (RMBS),Semiconductors / Technology,At close: August 29 at 4:00:00 PM EDT,0.49,0.00%,0.85%,31.99%,68.00%,440.04%,1142.44%,m
Dell Technologies Inc. (DELL),Computer Hardware / Technology,At close: 3:59:59 PM EDT,1.45,3.08%,0.93%,22.82%,18.40%,318.56%,984.86%,ny
Bullish (BLSH),Software - Infrastructure / Technology,At close: 4:00:02 PM EDT,0.07,-16.65%,-38.31%,-38.31%,-38.31%,-38.31%,-38.31%,n
Celestica Inc. (CLS),Electronic Components / Technology,At close: August 29 at 4:00:02 PM EDT,1.75,3.09%,-3.59%,80.54%,285.11%,2272.11%,1998.32%,ny
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Regencell Bioscience Holdings Limited (RGC),Drug Manufacturers - Specialty & Generic / Healthcare,As of 12:30:12 PM EDT. Market Open.,N/A,11.56%,2.81%,11696.49%,7415.79%,4422.01%,4422.01%,l
"Duolingo, Inc. (DUOL)",Software - Application / Technology,At close: August 29 at 4:00:02 PM EDT,0.13,-10.25%,-10.74%,-4.55%,43.51%,110.65%,110.65%,m
Webull Corporation (BULL),Software - Application / Technology,At close: August 29 at 4:00:02 PM EDT,0.09,-11.81%,-0.73%,16.35%,20.96%,37.00%,37.00%,ny
American Superconductor Corporation (AMSC),Specialty Industrial Machinery / Industrials,At close: August 29 at 4:00:00 PM EDT,0.43,-1.54%,14.77%,119.73%,152.15%,290.15%,-41.86%,n
"Ulta Beauty, Inc. (ULTA)",Specialty Retail / Consumer Cyclical,As of 2:08:29 PM EDT. Market Open.,N/A,2.10%,2.48%,44.30%,39.37%,140.11%,1499.13%,ny
Accelerant Holdings (ARX),Insurance Brokers / Financial Services,At close: August 29 at 4:00:02 PM EDT,N/A,-33.28%,-29.35%,-29.65%,-29.65%,-29.65%,-29.65%,n
Fabrinet (FN),Electronic Components / Technology,As of 10:24:41 AM EDT. Market Open.,N/A,-13.94%,-10.45%,24.91%,1.34%,301.00%,2431.23%,ny
Credo Technology Group Holding Ltd (CRDO),Semiconductors / Technology,At close: August 29 at 4:00:01 PM EDT,N/A,7.91%,12.50%,123.01%,249.59%,916.98%,916.98%,
Celcuity Inc. (CELC),Biotechnology / Healthcare,At close: August 29 at 4:00:01 PM EDT,0.77,-2.27%,33.06%,443.27%,218.00%,790.96%,306.59%,
Telix Pharmaceuticals Limited (TLX),Biotechnology / Healthcare,At close: August 29 at 4:00:01 PM EDT,0.1,-21.72%,-26.82%,-46.89%,-40.28%,-40.28%,-40.28%,
Oracle Corporation (ORCL),Software - Infrastructure / Technology,At close: August 29 at 4:00:02 PM EDT,0.12,-4.33%,-9.54%,36.17%,62.19%,290.69%,357293.48%,
Camtek Ltd. (CAMT),Semiconductor Equipment & Materials / Technology,At close: August 29 at 4:00:01 PM EDT,1.62,0.24%,-15.81%,10.99%,-11.17%,435.34%,1172.46%,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Argan, Inc. (AGX)",Engineering & Construction / Industrials,As of 11:11:27 AM EDT. Market Open.,N/A,2.02%,-4.83%,73.84%,192.67%,427.32%,96599.73%,
"BILL Holdings, Inc. (BILL)",Software - Application / Technology,At close: August 29 at 4:00:02 PM EDT,N/A,9.77%,3.09%,-15.91%,-15.57%,-53.72%,24.62%,
"Super Micro Computer, Inc. (SMCI)",Computer Hardware / Technology,At close: 4:00:01 PM EDT,0.009,5.05%,-17.83%,4.21%,-18.27%,1611.66%,4957.63%,
Oklo Inc. (OKLO),Utilities - Regulated Electric / Utilities,At close: August 29 at 4:00:02 PM EDT,0.31,4.63%,3.70%,120.55%,1043.48%,636.40%,636.40%,
"Cytokinetics, Incorporated (CYTK)",Biotechnology / Healthcare,At close: August 29 at 4:00:01 PM EDT,1,-7.85%,-1.59%,-23.20%,-38.44%,45.21%,-63.63%,
